difference
0.0
0.0
1.0
1.0
2.0
0.0
0.0
0.0
1.0
1.0
1.0
3.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
1.0
0.0
1.0
1.0
0.0
0.0
0.0
10.0
0.0
0.0
2.0
3.0
0.0
0.0
13.0
2.0
15.0
0.0
5.0
5.0
18.0
16.0
21.0
36.0
67.0
83.0
116.0
119.0
198.0
270.0
239.0
405.0
556.0
668.0
701.0
902.0
1390.0
2439.0
4040.0
5587.0
6510.0
8524.0
10414.0
10412.0
14588.0
16950.0
17294.0
21029.0
18482.0
21410.0
24412.0
26839.0
29650.0
32214.0
34954.0
25520.0
30817.0
30223.0
31591.0
34616.0
33336.0
31602.0
27046.0
25689.0
26588.0
29894.0
31460.0
31383.0
28208.0
25207.0
27196.0
25337.0
28724.0
33618.0
36572.0
34237.0
26593.0
23138.0
24532.0
26442.0
30122.0
33629.0
29335.0
25921.0
21807.0
23553.0
24346.0
28282.0
27397.0
24665.0
20147.0
17501.0
22203.0
21042.0
26809.0
26088.0
23488.0
18933.0
21673.0
20804.0
22947.0
25496.0
23688.0
22195.0
19887.0
18985.0
18780.0
18669.0
22382.0
24501.0
23218.0
20550.0
21838.0
20757.0
19849.0
21510.0
28618.0
22446.0
18553.0
18144.0
18719.0
23092.0
23150.0
25428.0
25279.0
19072.0
20085.0
24866.0
25626.0
28003.0
30787.0
31993.0
26343.0
30428.0
35022.0
36955.0
41142.0
45500.0
42273.0
39046.0
39873.0
48360.0
49939.0
55530.0
56478.0
50628.0
44731.0
47282.0
54103.0
59386.0
59862.0
68163.0
60670.0
57761.0
61512.0
65561.0
68268.0
75647.0
70884.0
62375.0
