bed amount
63470
65388
67008
69198
69755
72327
73958
74422
73380
73609
71903
71898
72574
72395
80309
79997
78312
75436
76508
78880
81425
77570
78996
77258
76844
77594
78354
78283
78684
75555
73915
72516
71616
73293
72347
71102
69708
66185
63915
62916
62044
62683
60642
59766
58870
56731
56265
57738
57977
57301
55741
54268
52675
52226
51882
52052
51986
50138
47129
47395
46177
45645
45826
44219
43837
43270
42605
42344
43013
43167
40569
41269
39741
38278
38458
38909
38895
38392
40534
40452
39859
39368
41239
43564
44163
45908
44846
44165
45849
49359
52358
